Drug_targetID,UniProt_ID,DrugBank_ID
DT4354,Q07343, DB06909
DT4355,Q07343, DB08299
DT4356,P02919,DB00274
DT4357,P02919, DB00303
DT4358,P02919, DB00430
DT4359,P02919, DB00438
DT4360,P02919, DB00689
DT4361,P02919, DB01327
DT4362,P02919, DB01328
DT4363,P02919, DB01329
DT4364,P02919, DB01331
DT4365,P02919, DB01332
DT4366,P02919, DB01413
DT4367,P02919, DB01414
DT4368,P02919, DB01415
DT4369,P02919, DB01598
DT4370,P02919, DB04570
DT4371,P02919, DB06211
DT4372,P02919, DB11367
DT4373,P15382,DB04957
DT4374,P16473,DB00024
DT4375,P41252,DB00167
DT4376,P05165,DB00121
DT4377,P28331,DB00157
DT4378,Q9Y5K3,DB00122
DT4379,Q9Y5K3, DB14006
DT4380,P51172,DB00384
DT4381,P51172, DB00594
DT4382,P43155,DB00583
DT4383,P43155, DB01992
DT4384,P43155, DB02648
DT4385,P51170,DB00384
DT4386,P51170, DB00594
DT4387,P00582,DB00548
DT4388,P00582, DB08432
DT4389,P01130,DB00707
DT4390,O43181,DB00157
DT4391,P35348,DB00211
DT4392,P35348, DB00246
DT4393,P35348, DB00248
DT4394,P35348, DB00298
DT4395,P35348, DB00321
DT4396,P35348, DB00334
DT4397,P35348, DB00346
DT4398,P35348, DB00363
DT4399,P35348, DB00368
DT4400,P35348, DB00388
DT4401,P35348, DB00408
DT4402,P35348, DB00420
DT4403,P35348, DB00449
DT4404,P35348, DB00450
DT4405,P35348, DB00457
DT4406,P35348, DB00458
DT4407,P35348, DB00477
DT4408,P35348, DB00502
DT4409,P35348, DB00540
DT4410,P35348, DB00543
DT4411,P35348, DB00555
DT4412,P35348, DB00575
DT4413,P35348, DB00590
DT4414,P35348, DB00610
DT4415,P35348, DB00622
DT4416,P35348, DB00656
DT4417,P35348, DB00661
DT4418,P35348, DB00668
DT4419,P35348, DB00679
DT4420,P35348, DB00692
DT4421,P35348, DB00696
DT4422,P35348, DB00699
DT4423,P35348, DB00706
DT4424,P35348, DB00723
DT4425,P35348, DB00726
DT4426,P35348, DB00734
DT4427,P35348, DB00751
DT4428,P35348, DB00777
DT4429,P35348, DB00797
DT4430,P35348, DB00800
DT4431,P35348, DB00831
DT4432,P35348, DB00852
DT4433,P35348, DB00865
DT4434,P35348, DB00875
DT4435,P35348, DB00908
DT4436,P35348, DB00925
DT4437,P35348, DB00935
DT4438,P35348, DB00964
DT4439,P35348, DB01136
DT4440,P35348, DB01142
DT4441,P35348, DB01149
DT4442,P35348, DB01162
DT4443,P35348, DB01186
DT4444,P35348, DB01200
DT4445,P35348, DB01238
DT4446,P35348, DB01253
DT4447,P35348, DB01267
DT4448,P35348, DB01295
DT4449,P35348, DB01364
DT4450,P35348, DB01403
DT4451,P35348, DB01472
DT4452,P35348, DB01579
DT4453,P35348, DB01614
DT4454,P35348, DB01622
DT4455,P35348, DB01624
DT4456,P35348, DB04855
DT4457,P35348, DB04946
DT4458,P35348, DB04948
DT4459,P35348, DB05469
DT4460,P35348, DB05492
DT4461,P35348, DB06016
DT4462,P35348, DB06144
DT4463,P35348, DB06153
DT4464,P35348, DB06207
DT4465,P35348, DB06216
DT4466,P35348, DB06229
DT4467,P35348, DB06262
DT4468,P35348, DB06694
DT4469,P35348, DB06706
DT4470,P35348, DB06711
DT4471,P35348, DB08950
DT4472,P35348, DB09202
DT4473,P35348, DB09239
DT4474,P35348, DB11124
DT4475,P35348, DB12278
DT4476,P35348, DB14185
DT4477,Q13621,DB00214
DT4478,Q13621, DB00232
DT4479,Q13621, DB00310
DT4480,Q13621, DB00534
DT4481,Q13621, DB00695
DT4482,Q13621, DB00761
DT4483,Q13621, DB00774
DT4484,Q13621, DB00887
DT4485,Q13621, DB00903
DT4486,Q13621, DB01325
DT4487,Q13621, DB02925
DT4488,P03886,DB00157
DT4489,P03886, DB01028
DT4490,P03886, DB01159
DT4491,P03886, DB01189
DT4492,P03886, DB01236
DT4493,P03886, DB04464
DT4494,P03886, DB12695
DT4495,P07202,DB00389
DT4496,P07202, DB00509
DT4497,P07202, DB00550
DT4498,P07202, DB00763
DT4499,P07202, DB08604
DT4500,P07202, DB11085
DT4501,P07202, DB11496
DT4502,P41180,DB00127
DT4503,P41180, DB00994
DT4504,P41180, DB01012
DT4505,P41180, DB05255
DT4506,P41180, DB05695
DT4507,P41180, DB11093
DT4508,P41180, DB11348
DT4509,P41180, DB12865
DT4510,P41180, DB14481
DT4511,P02787,DB00515
DT4512,P02787, DB00677
DT4513,P02787, DB01370
DT4514,P02787, DB01592
DT4515,P02787, DB01593
DT4516,P02787, DB06757
DT4517,P02787, DB09130
DT4518,P02787, DB11397
DT4519,P02787, DB14487
DT4520,P02787, DB14488
DT4521,P02787, DB14489
DT4522,P02787, DB14490
DT4523,P02787, DB14491
DT4524,P02787, DB14501
DT4525,P02787, DB14517
DT4526,P02787, DB14518
DT4527,P02787, DB14533
DT4528,P02787, DB14548
DT4529,P04626,DB00072
DT4530,P04626, DB01259
DT4531,P04626, DB04988
DT4532,P04626, DB05773
DT4533,P04626, DB05944
DT4534,P04626, DB06021
DT4535,P04626, DB06366
DT4536,P04626, DB08916
DT4537,P04626, DB11652
DT4538,P04626, DB11973
DT4539,P04626, DB12010
DT4540,P04626, DB12267
DT4541,P04626, DB14967
DT4542,P04626, DB15035
DT4543,P17568,DB00157
DT4544,O94788,DB00157
DT4545,O94788, DB00162
DT4546,O94788, DB00755
DT4547,P06478,DB00299
DT4548,P48039,DB00980
DT4549,P48039, DB01065
DT4550,P48039, DB02709
DT4551,P48039, DB06594
DT4552,P48039, DB09071
DT4553,P20701,DB00095
DT4554,P20701, DB00098
DT4555,P20701, DB00227
DT4556,P20701, DB00641
DT4557,P20701, DB01098
DT4558,P20701, DB02177
DT4559,P20701, DB03932
DT4560,P20701, DB04724
DT4561,P20701, DB06972
DT4562,P20701, DB07486
DT4563,P20701, DB08860
DT4564,P20701, DB11611
DT4565,P54687,DB00114
DT4566,P54687, DB00142
DT4567,P54687, DB00149
DT4568,P54687, DB00161
DT4569,P54687, DB00167
DT4570,P54687, DB07544
DT4571,O75600,DB00114
DT4572,O75600, DB00145
DT4573,P28329,DB00184
DT4574,P04424,DB00125
DT4575,P04424, DB02267
DT4576,P04424, DB03814
DT4577,P25101,DB00559
DT4578,P25101, DB00945
DT4579,P25101, DB04674
DT4580,P25101, DB04883
DT4581,P25101, DB05290
DT4582,P25101, DB05367
DT4583,P25101, DB06199
DT4584,P25101, DB06268
DT4585,P25101, DB06403
DT4586,P25101, DB06460
DT4587,P25101, DB06558
DT4588,P25101, DB06677
DT4589,P25101, DB08932
DT4590,P25101, DB12548
DT4591,P40394,DB00157
DT4592,P40394, DB00898
DT4593,P34903,DB00241
DT4594,P34903, DB00306
DT4595,P34903, DB00312
DT4596,P34903, DB00371
DT4597,P34903, DB00395
DT4598,P34903, DB00402
DT4599,P34903, DB00418
DT4600,P34903, DB00425
DT4601,P34903, DB00463
DT4602,P34903, DB00599
DT4603,P34903, DB00794
DT4604,P34903, DB00849
DT4605,P34903, DB00898
DT4606,P34903, DB01198
DT4607,P34903, DB01351
DT4608,P34903, DB01352
DT4609,P34903, DB01353
DT4610,P34903, DB01354
DT4611,P34903, DB01355
DT4612,P34903, DB01483
DT4613,P34903, DB01496
DT4614,P34903, DB01567
DT4615,P34903, DB04903
DT4616,P34903, DB13994
DT4617,Q9P0J0,DB00157
DT4618,Q15274,DB00627
DT4619,P47871,DB00040
DT4620,P47871, DB15226
DT4621,Q12797,DB00128
DT4622,P17174,DB00114
DT4623,P17174, DB00128
DT4624,P17174, DB00142
DT4625,P17174, DB00151
DT4626,P17174, DB00210
DT4627,P17174, DB04299
DT4628,P17174, DB09130
DT4629,P02768,DB00276
DT4630,P02768, DB00493
DT4631,P02768, DB03255
DT4632,P02768, DB06713
DT4633,P02768, DB06728
DT4634,P02768, DB11359
DT4635,P02768, DB11638
DT4636,P02768, DB12965
DT4637,P02768, DB13967
DT4638,P28335,DB00193
DT4639,P28335, DB00246
DT4640,P28335, DB00247
DT4641,P28335, DB00248
DT4642,P28335, DB00320
DT4643,P28335, DB00321
DT4644,P28335, DB00334
DT4645,P28335, DB00363
DT4646,P28335, DB00370
DT4647,P28335, DB00408
DT4648,P28335, DB00420
DT4649,P28335, DB00434
DT4650,P28335, DB00458
DT4651,P28335, DB00472
DT4652,P28335, DB00477
DT4653,P28335, DB00502
DT4654,P28335, DB00540
DT4655,P28335, DB00543
DT4656,P28335, DB00574
DT4657,P28335, DB00589
DT4658,P28335, DB00623
DT4659,P28335, DB00656
DT4660,P28335, DB00696
DT4661,P28335, DB00714
DT4662,P28335, DB00726
DT4663,P28335, DB00734
DT4664,P28335, DB00777
DT4665,P28335, DB00805
DT4666,P28335, DB00875
DT4667,P28335, DB00924
DT4668,P28335, DB00934
DT4669,P28335, DB01079
DT4670,P28335, DB01142
DT4671,P28335, DB01149
DT4672,P28335, DB01151
DT4673,P28335, DB01175
DT4674,P28335, DB01186
DT4675,P28335, DB01191
DT4676,P28335, DB01200
DT4677,P28335, DB01224
DT4678,P28335, DB01238
DT4679,P28335, DB01242
DT4680,P28335, DB01267
DT4681,P28335, DB01392
DT4682,P28335, DB01403
DT4683,P28335, DB01454
DT4684,P28335, DB01537
DT4685,P28335, DB04871
DT4686,P28335, DB04884
DT4687,P28335, DB04948
DT4688,P28335, DB05316
DT4689,P28335, DB05492
DT4690,P28335, DB06016
DT4691,P28335, DB06144
DT4692,P28335, DB06148
DT4693,P28335, DB06153
DT4694,P28335, DB06216
DT4695,P28335, DB06229
DT4696,P28335, DB06446
DT4697,P28335, DB06512
DT4698,P28335, DB06594
DT4699,P28335, DB09014
DT4700,P28335, DB09185
DT4701,P28335, DB09194
DT4702,P28335, DB09195
DT4703,P28335, DB12110
DT4704,P28335, DB12163
DT4705,P28335, DB12177
DT4706,P28335, DB13940
DT4707,P28335, DB14185
DT4708,O60391,DB00145
DT4709,O60391, DB01159
DT4710,O60391, DB01173
DT4711,O60391, DB01520
DT4712,P22748,DB00232
DT4713,P22748, DB00273
DT4714,P22748, DB00311
DT4715,P22748, DB00436
DT4716,P22748, DB00562
DT4717,P22748, DB00703
DT4718,P22748, DB00774
DT4719,P22748, DB00819
DT4720,P22748, DB00869
DT4721,P22748, DB00909
DT4722,P22748, DB01021
DT4723,P22748, DB01144
DT4724,P22748, DB01194
DT4725,P22748, DB08846
DT4726,P22748, DB09460
DT4727,Q7Z2H8,DB00160
DT4728,P05543,DB09130
DT4729,P02671,DB00009
DT4730,P02671, DB00015
DT4731,P02671, DB00029
DT4732,P02671, DB00031
DT4733,P02671, DB01593
DT4734,P02671, DB04919
DT4735,P02671, DB05099
DT4736,P02671, DB05675
DT4737,P02671, DB06245
DT4738,P02671, DB11300
DT4739,P02671, DB11311
DT4740,P02671, DB11571
DT4741,P02671, DB11572
DT4742,P02671, DB13151
DT4743,P02671, DB14487
DT4744,P02671, DB14533
DT4745,P02671, DB14548
DT4746,P18405,DB00367
DT4747,P18405, DB01126
DT4748,P18405, DB01216
DT4749,P18405, DB09389
DT4750,P09417,DB00157
DT4751,P09417, DB03814
DT4752,Q86Y39,DB00157
DT4753,P04406,DB00157
DT4754,P04406, DB02059
DT4755,P04406, DB03893
DT4756,P04406, DB07347
DT4757,P04406, DB09092
DT4758,P04406, DB09130
DT4759,P04406, DB11638
DT4760,P05166,DB00121
DT4761,P05166, DB00161
DT4762,O14561,DB00157
DT4763,P09884,DB00242
DT4764,P09884, DB00631
DT4765,P09884, DB01073
DT4766,P09884, DB01280
DT4767,P00363,DB00730
DT4768,P00363, DB07490
DT4769,P00363, DB07918
DT4770,O43678,DB00157
DT4771,P03905,DB00157
DT4772,P15428,DB00157
DT4773,Q12791,DB00356
DT4774,Q12791, DB00436
DT4775,Q12791, DB00774
DT4776,Q12791, DB00999
DT4777,Q12791, DB01119
DT4778,Q12791, DB01159
DT4779,Q12791, DB04209
DT4780,P00352,DB00157
DT4781,P00352, DB00162
DT4782,P00352, DB00755
DT4783,P00352, DB04447
DT4784,Q05486,DB00709
DT4785,Q05486, DB01265
DT4786,P16066,DB00325
DT4787,P16066, DB00727
DT4788,P16066, DB00883
DT4789,P16066, DB01612
DT4790,P16066, DB01613
DT4791,P16066, DB04899
DT4792,P16066, DB05034
DT4793,P06401,DB00294
DT4794,P06401, DB00304
DT4795,P06401, DB00351
DT4796,P06401, DB00367
DT4797,P06401, DB00378
DT4798,P06401, DB00396
DT4799,P06401, DB00421
DT4800,P06401, DB00431
DT4801,P06401, DB00588
DT4802,P06401, DB00603
DT4803,P06401, DB00648
DT4804,P06401, DB00717
DT4805,P06401, DB00764
DT4806,P06401, DB00823
DT4807,P06401, DB00834
DT4808,P06401, DB00957
DT4809,P06401, DB01395
DT4810,P06401, DB01406
DT4811,P06401, DB01428
DT4812,P06401, DB01431
DT4813,P06401, DB02746
DT4814,P06401, DB02998
DT4815,P06401, DB04787
DT4816,P06401, DB05253
DT4817,P06401, DB06680
DT4818,P06401, DB06713
DT4819,P06401, DB06730
DT4820,P06401, DB06789
DT4821,P06401, DB08867
DT4822,P06401, DB08906
DT4823,P06401, DB09123
DT4824,P06401, DB09124
DT4825,P06401, DB09389
DT4826,P06401, DB11064
DT4827,P06401, DB11219
DT4828,P06401, DB11619
DT4829,P06401, DB12941
DT4830,P06401, DB13857
DT4831,P06401, DB13867
DT4832,P06401, DB14512
DT4833,P06401, DB14583
DT4834,P0A6R0,DB01034
DT4835,P0A6R0, DB01992
DT4836,P0A6R0, DB02039
DT4837,P0A6R0, DB02316
DT4838,P0A6R0, DB03661
DT4839,P0A6R0, DB04524
DT4840,O43837,DB00157
DT4841,P08172,DB00202
DT4842,P08172, DB00246
DT4843,P08172, DB00280
DT4844,P08172, DB00332
DT4845,P08172, DB00334
DT4846,P08172, DB00342
DT4847,P08172, DB00363
DT4848,P08172, DB00376
DT4849,P08172, DB00383
DT4850,P08172, DB00387
DT4851,P08172, DB00392
DT4852,P08172, DB00408
DT4853,P08172, DB00411
DT4854,P08172, DB00424
DT4855,P08172, DB00434
DT4856,P08172, DB00458
DT4857,P08172, DB00462
DT4858,P08172, DB00483
DT4859,P08172, DB00496
DT4860,P08172, DB00505
DT4861,P08172, DB00508
DT4862,P08172, DB00517
DT4863,P08172, DB00565
DT4864,P08172, DB00572
DT4865,P08172, DB00622
DT4866,P08172, DB00725
DT4867,P08172, DB00728
DT4868,P08172, DB00747
DT4869,P08172, DB00767
DT4870,P08172, DB00785
DT4871,P08172, DB00804
DT4872,P08172, DB00809
DT4873,P08172, DB00835
DT4874,P08172, DB00907
DT4875,P08172, DB00934
DT4876,P08172, DB00940
DT4877,P08172, DB00986
DT4878,P08172, DB01019
DT4879,P08172, DB01036
DT4880,P08172, DB01062
DT4881,P08172, DB01069
DT4882,P08172, DB01075
DT4883,P08172, DB01085
DT4884,P08172, DB01135
DT4885,P08172, DB01142
DT4886,P08172, DB01148
DT4887,P08172, DB01151
DT4888,P08172, DB01224
DT4889,P08172, DB01226
DT4890,P08172, DB01231
DT4891,P08172, DB01238
DT4892,P08172, DB01239
DT4893,P08172, DB01336
DT4894,P08172, DB01337
DT4895,P08172, DB01338
DT4896,P08172, DB01403
DT4897,P08172, DB01409
DT4898,P08172, DB01591
DT4899,P08172, DB03128
DT4900,P08172, DB04834
DT4901,P08172, DB05752
DT4902,P08172, DB06153
DT4903,P08172, DB06702
DT4904,P08172, DB06709
DT4905,P08172, DB06787
DT4906,P08172, DB08801
DT4907,P08172, DB08897
DT4908,P08172, DB09076
DT4909,P08172, DB09089
DT4910,P08172, DB09167
DT4911,P08172, DB09185
DT4912,P08172, DB09262
DT4913,P08172, DB09300
DT4914,P08172, DB11181
DT4915,P08172, DB11235
DT4916,P08172, DB12278
DT4917,P08172, DB13581
DT4918,P08172, DB14185
DT4919,Q9NSD9,DB00120
DT4920,P52569,DB00123
DT4921,P52569, DB00129
DT4922,P13922,DB00205
DT4923,P13922, DB01131
DT4924,P13922, DB01299
DT4925,P14778,DB00026
DT4926,P14778, DB05207
DT4927,P14778, DB05303
DT4928,P14778, DB10770
DT4929,Q9NWM0,DB00127
DT4930,Q9NWM0, DB04188
DT4931,Q14353,DB00148
DT4932,Q14353, DB00536
DT4933,Q14353, DB01752
DT4934,Q14353, DB02751
DT4935,Q14353, DB13191
DT4936,Q04609,DB00089
DT4937,Q04609, DB00142
DT4938,Q04609, DB06928
DT4939,Q04609, DB07754
DT4940,Q04609, DB08835
DT4941,Q04609, DB14805
DT4942,Q16878,DB00151
DT4943,Q16878, DB00157
DT4944,Q92781,DB00157
DT4945,Q92781, DB00162
DT4946,P08559,DB00157
DT4947,P18089,DB00246
DT4948,P18089, DB00248
DT4949,P18089, DB00292
DT4950,P18089, DB00363
DT4951,P18089, DB00368
DT4952,P18089, DB00408
DT4953,P18089, DB00457
DT4954,P18089, DB00484
DT4955,P18089, DB00502
DT4956,P18089, DB00575
DT4957,P18089, DB00589
DT4958,P18089, DB00629
DT4959,P18089, DB00668
DT4960,P18089, DB00714
DT4961,P18089, DB00726
DT4962,P18089, DB00734
DT4963,P18089, DB00797
DT4964,P18089, DB00800
DT4965,P18089, DB00925
DT4966,P18089, DB00935
DT4967,P18089, DB00964
DT4968,P18089, DB01018
DT4969,P18089, DB01136
DT4970,P18089, DB01200
DT4971,P18089, DB01224
DT4972,P18089, DB01238
DT4973,P18089, DB01267
DT4974,P18089, DB01363
DT4975,P18089, DB01392
DT4976,P18089, DB01403
DT4977,P18089, DB01577
DT4978,P18089, DB04846
DT4979,P18089, DB04855
DT4980,P18089, DB05271
DT4981,P18089, DB05461
DT4982,P18089, DB05492
DT4983,P18089, DB06148
DT4984,P18089, DB06153
DT4985,P18089, DB06216
DT4986,P18089, DB06229
DT4987,P18089, DB06262
DT4988,P18089, DB06694
DT4989,P18089, DB11124
DT4990,P18089, DB14185
DT4991,P45954,DB00167
DT4992,P45954, DB00313
DT4993,P04035,DB00157
DT4994,P04035, DB00175
DT4995,P04035, DB00227
DT4996,P04035, DB00439
DT4997,P04035, DB00641
DT4998,P04035, DB01076
DT4999,P04035, DB01095
DT5000,P04035, DB01098
DT5001,P04035, DB01992
DT5002,P04035, DB03169
DT5003,P04035, DB03461
DT5004,P04035, DB04377
DT5005,P04035, DB04447
DT5006,P04035, DB05317
DT5007,P04035, DB06693
DT5008,P04035, DB08860
DT5009,P04035, DB09061
DT5010,P04035, DB14009
DT5011,P04035, DB14011
DT5012,P35368,DB00211
DT5013,P35368, DB00246
DT5014,P35368, DB00248
DT5015,P35368, DB00298
DT5016,P35368, DB00321
DT5017,P35368, DB00334
DT5018,P35368, DB00346
DT5019,P35368, DB00363
DT5020,P35368, DB00368
DT5021,P35368, DB00388
DT5022,P35368, DB00408
DT5023,P35368, DB00457
DT5024,P35368, DB00458
DT5025,P35368, DB00477
DT5026,P35368, DB00540
DT5027,P35368, DB00575
DT5028,P35368, DB00590
DT5029,P35368, DB00622
DT5030,P35368, DB00661
DT5031,P35368, DB00668
DT5032,P35368, DB00679
DT5033,P35368, DB00692
DT5034,P35368, DB00696
DT5035,P35368, DB00706
DT5036,P35368, DB00723
DT5037,P35368, DB00726
DT5038,P35368, DB00734
DT5039,P35368, DB00745
DT5040,P35368, DB00800
DT5041,P35368, DB00908
DT5042,P35368, DB00925
DT5043,P35368, DB00935
DT5044,P35368, DB01136
DT5045,P35368, DB01142
DT5046,P35368, DB01149
DT5047,P35368, DB01162
DT5048,P35368, DB01186
DT5049,P35368, DB01200
DT5050,P35368, DB01238
DT5051,P35368, DB01267
DT5052,P35368, DB01403
DT5053,P35368, DB01576
DT5054,P35368, DB01579
DT5055,P35368, DB01608
DT5056,P35368, DB01614
DT5057,P35368, DB01622
DT5058,P35368, DB04855
DT5059,P35368, DB05469
DT5060,P35368, DB05492
DT5061,P35368, DB06144
DT5062,P35368, DB06153
DT5063,P35368, DB06207
DT5064,P35368, DB06229
DT5065,P35368, DB06262
DT5066,P35368, DB06694
DT5067,P35368, DB09128
DT5068,P35368, DB09185
DT5069,P35368, DB09202
DT5070,P35368, DB11124
DT5071,P35368, DB14185
DT5072,Q8XJ01,DB00229
DT5073,Q8XJ01, DB00267
DT5074,Q8XJ01, DB00301
DT5075,Q8XJ01, DB00417
DT5076,Q8XJ01, DB00447
DT5077,Q8XJ01, DB00456
DT5078,Q8XJ01, DB00713
DT5079,Q8XJ01, DB00833
DT5080,Q8XJ01, DB00948
DT5081,Q8XJ01, DB01061
DT5082,Q8XJ01, DB01066
DT5083,Q8XJ01, DB01112
DT5084,Q8XJ01, DB01139
DT5085,Q8XJ01, DB01604
DT5086,Q8XJ01, DB01605
DT5087,Q8XJ01, DB04133
DT5088,Q14534,DB00735
DT5089,Q14534, DB00857
DT5090,Q14534, DB01091
DT5091,Q14534, DB08846
DT5092,Q92506,DB00157
DT5093,Q92506, DB03461
DT5094,O43772,DB00583
DT5095,P03915,DB00157
DT5096,P35462,DB00246
DT5097,P35462, DB00248
DT5098,P35462, DB00268
DT5099,P35462, DB00320
DT5100,P35462, DB00334
DT5101,P35462, DB00363
DT5102,P35462, DB00391
DT5103,P35462, DB00408
DT5104,P35462, DB00409
DT5105,P35462, DB00413
DT5106,P35462, DB00477
DT5107,P35462, DB00490
DT5108,P35462, DB00502
DT5109,P35462, DB00543
DT5110,P35462, DB00589
DT5111,P35462, DB00714
DT5112,P35462, DB00875
DT5113,P35462, DB00988
DT5114,P35462, DB01100
DT5115,P35462, DB01184
DT5116,P35462, DB01186
DT5117,P35462, DB01200
DT5118,P35462, DB01224
DT5119,P35462, DB01235
DT5120,P35462, DB01238
DT5121,P35462, DB01239
DT5122,P35462, DB01267
DT5123,P35462, DB01392
DT5124,P35462, DB01403
DT5125,P35462, DB04946
DT5126,P35462, DB05271
DT5127,P35462, DB05766
DT5128,P35462, DB06016
DT5129,P35462, DB06148
DT5130,P35462, DB06216
DT5131,P35462, DB06288
DT5132,P35462, DB06454
DT5133,P35462, DB06477
DT5134,P35462, DB09014
DT5135,P35462, DB09207
DT5136,P35462, DB09223
DT5137,P35462, DB09286
DT5138,P35462, DB09289
DT5139,P35462, DB11274
DT5140,P35462, DB12061
DT5141,P35462, DB12478
DT5142,P35462, DB13025
DT5143,P35462, DB14185
DT5144,Q7RTX0,DB00168
DT5145,P47895,DB00157
DT5146,P47895, DB00162
DT5147,P11485,DB00198
DT5148,P31213,DB00548
DT5149,P31213, DB01126
DT5150,P31213, DB01216
DT5151,Q08426,DB00157
DT5152,P30519,DB00157
DT5153,P30519, DB04912
DT5154,P02918,DB00274
DT5155,P02918, DB00303
DT5156,P02918, DB00430
DT5157,P02918, DB00438
DT5158,P02918, DB01327
DT5159,P02918, DB01328
DT5160,P02918, DB01329
DT5161,P02918, DB01331
DT5162,P02918, DB01332
DT5163,P02918, DB01333
DT5164,P02918, DB01413
DT5165,P02918, DB01414
DT5166,P02918, DB01415
DT5167,P02918, DB01598
DT5168,P02918, DB04570
DT5169,P02918, DB06211
DT5170,P40925,DB00157
DT5171,P40925, DB03461
DT5172,P40925, DB11638
DT5173,P13612,DB00108
DT5174,P13612, DB04997
DT5175,P13612, DB05092
DT5176,P13612, DB05122
DT5177,P13612, DB05468
DT5178,P13612, DB06822
DT5179,P13612, DB09033
DT5180,P9WNL5,DB00330
DT5181,P42330,DB00157
DT5182,P42330, DB00328
DT5183,P42330, DB01536
DT5184,P42330, DB01698
DT5185,P42330, DB02056
DT5186,P42330, DB02266
DT5187,P42330, DB03461
DT5188,P42330, DB07700
DT5189,P42330, DB09074
DT5190,Q8NBN7,DB00162
DT5191,P03200,DB00632
DT5192,P30043,DB00140
DT5193,P30043, DB00157
DT5194,P30043, DB02073
DT5195,P30043, DB03247
DT5196,P30043, DB03461
DT5197,P30043, DB04345
DT5198,P30043, DB04363
DT5199,Q9Y6M9,DB00157
DT5200,P05041,DB01942
DT5201,P06126,DB00098
DT5202,P12235,DB00171
DT5203,P12235, DB00720
DT5204,P12235, DB01077
DT5205,P12235, DB01736
DT5206,P12235, DB02426
DT5207,P12235, DB03429
DT5208,P12235, DB04178
DT5209,P51648,DB00157
DT5210,Q9UP95,DB00761
DT5211,Q9UP95, DB00887
DT5212,Q05329,DB00142
DT5213,Q9Y617,DB00114
DT5214,Q9Y617, DB00142
DT5215,P48163,DB00157
DT5216,P48163, DB03461
DT5217,Q9UKU7,DB01675
DT5218,Q9UKU7, DB03147
DT5219,P48507,DB00142
DT5220,P48507, DB00151
DT5221,O43776,DB00174
DT5222,O95865,DB00155
DT5223,P29803,DB00157
DT5224,P43088,DB00287
DT5225,P43088, DB00654
DT5226,P43088, DB00905
DT5227,P43088, DB01160
DT5228,P43088, DB08819
DT5229,P43088, DB11660
DT5230,Q08210,DB01117
DT5231,O60294,DB00149
DT5232,P07101,DB00120
DT5233,P07101, DB00135
DT5234,P07101, DB00360
DT5235,P07101, DB00765
DT5236,P07101, DB03552
DT5237,P07101, DB04400
DT5238,P49585,DB00122
DT5239,P49585, DB14006
DT5240,P01619,DB01593
DT5241,P01619, DB09130
DT5242,P01619, DB14487
DT5243,P11586,DB00116
DT5244,P11586, DB00157
DT5245,P11586, DB02358
DT5246,P11586, DB03461
DT5247,P11586, DB04322
DT5248,P23378,DB00114
DT5249,P51164,DB05351
DT5250,P17117,DB00698
DT5251,P17117, DB03247
DT5252,P52895,DB00157
DT5253,P52895, DB01586
DT5254,P52895, DB03461
DT5255,P52895, DB06777
DT5256,P52895, DB07768
DT5257,P18031,DB01734
DT5258,P18031, DB01820
DT5259,P18031, DB02014
DT5260,P18031, DB02072
DT5261,P18031, DB02259
DT5262,P18031, DB02420
DT5263,P18031, DB02436
DT5264,P18031, DB02615
DT5265,P18031, DB02620
DT5266,P18031, DB02622
DT5267,P18031, DB02651
DT5268,P18031, DB02662
DT5269,P18031, DB02784
DT5270,P18031, DB02827
DT5271,P18031, DB02977
DT5272,P18031, DB03102
DT5273,P18031, DB03154
DT5274,P18031, DB03311
DT5275,P18031, DB03483
DT5276,P18031, DB03557
DT5277,P18031, DB03661
DT5278,P18031, DB03670
DT5279,P18031, DB03714
DT5280,P18031, DB03982
DT5281,P18031, DB04001
DT5282,P18031, DB04088
DT5283,P18031, DB04142
DT5284,P18031, DB04204
DT5285,P18031, DB04285
DT5286,P18031, DB04525
DT5287,P18031, DB04800
DT5288,P18031, DB05506
DT5289,P18031, DB06333
DT5290,P18031, DB06521
DT5291,P18031, DB06829
DT5292,P18031, DB06887
DT5293,P18031, DB07130
DT5294,P18031, DB07134
DT5295,P18031, DB07197
DT5296,P18031, DB07263
DT5297,P18031, DB07289
DT5298,P18031, DB07295
DT5299,P18031, DB07298
DT5300,P18031, DB07480
DT5301,P18031, DB07651
DT5302,P18031, DB07719
DT5303,P18031, DB07730
DT5304,P18031, DB08001
DT5305,P18031, DB08003
DT5306,P18031, DB08147
DT5307,P18031, DB08371
DT5308,P18031, DB08397
DT5309,P18031, DB08549
DT5310,P18031, DB08591
DT5311,P18031, DB08593
DT5312,P18031, DB08783
DT5313,P12236,DB00720
DT5314,P12236, DB01077
DT5315,Q02643,DB00010
DT5316,Q02643, DB08869
DT5317,Q13085,DB00121
DT5318,P15509,DB00020
DT5319,P15509, DB05194
DT5320,P15509, DB05386
DT5321,P15509, DB10770
DT5322,P15509, DB10772
DT5323,P15509, DB11338
DT5324,P68871,DB00893
DT5325,P68871, DB01593
DT5326,P68871, DB02126
DT5327,P68871, DB06154
DT5328,P68871, DB07427
DT5329,P68871, DB07428
DT5330,P68871, DB07645
DT5331,P68871, DB08077
DT5332,P68871, DB08262
DT5333,P68871, DB08486
DT5334,P68871, DB08632
DT5335,P68871, DB09112
DT5336,P68871, DB09130
